商品品类,商品品类（原文）,销量,销售额,销售额百分占比,品类周期
健康美容,beleza_saude,8647,1233131.72,9.45,短
钟表礼品,relogios_presentes,5495,1166176.98,8.94,中
床品浴巾桌布,cama_mesa_banho,9272,1023434.76,7.84,长
运动休闲,esporte_lazer,7530,954852.55,7.32,长
电脑配件,informatica_acessorios,6530,888724.61,6.81,长
家具装饰,moveis_decoracao,6307,711927.69,5.46,长
居家日用品,utilidades_domesticas,5743,615628.69,4.72,长
潮流酷玩,cool_stuff,3559,610204.1,4.68,中
汽车用品,automotivo,3810,578966.65,4.44,长
玩具,brinquedos,3804,471286.48,3.61,中
园艺工具,ferramentas_jardim,3448,470495.28,3.61,长
母婴用品,bebes,2809,400421.84,3.07,长
香水香氛,perfumaria,3086,390144.65,2.99,中
手机通讯,telefonia,4093,309860.23,2.37,长
办公家具,moveis_escritorio,1254,268154.31,2.05,长
文具,papelaria,2264,223788.69,1.71,中
电脑,pcs,177,218684.14,1.68,长
宠物用品,pet_shop,1688,211695.64,1.62,短
乐器,instrumentos_musicais,611,184315.74,1.41,长
小家电,eletroportateis,609,182754.12,1.4,长
电子产品,eletronicos,2517,155043.93,1.19,长
时尚箱包配饰,fashion_bolsas_e_acessorios,1820,149329.39,1.14,中
游戏机及游戏,consoles_games,1018,148003.37,1.13,长
建筑施工工具,construcao_ferramentas_construcao,736,142108.49,1.09,长
箱包配饰,malas_acessorios,1019,138701.63,1.06,中
大家电_2,eletrodomesticos_2,227,107953.95,0.83,长
家装建材,casa_construcao,483,81407.57,0.62,长
大家电,eletrodomesticos,747,78832.48,0.6,长
农工商业用品,agro_industria_e_comercio,177,70566.1,0.54,长
客厅家具,moveis_sala,414,67350.7,0.52,长
家居舒适用品,casa_conforto,392,58008.45,0.44,长
固定电话,telefonia_fixa,212,55315.21,0.42,长
温控设备,climatizacao,246,53323.56,0.41,长
音频设备,audio,348,50570.6,0.39,长
烤箱及咖啡小家电,portateis_casa_forno_e_cafe,72,46589.56,0.36,长
厨餐及庭院家具,moveis_cozinha_area_de_servico_jantar_e_jardim,241,45531.98,0.35,长
综合类书籍,livros_interesse_geral,496,45302.15,0.35,中
工程照明灯具,construcao_ferramentas_iluminacao,242,39957,0.31,长
安全防护工具,construcao_ferramentas_seguranca,159,38773.22,0.3,长
工商业用品,industria_comercio_e_negocios,232,38498.81,0.29,长
食品,alimentos,441,28731.15,0.22,短
第三方集市,market_place,274,27795.77,0.21,中
园艺施工工具,construcao_ferramentas_jardim,190,25096.28,0.19,长
艺术用品,artes,195,23657.3,0.18,中
时尚鞋履,fashion_calcados,235,23001.46,0.18,中
饮品,bebidas,287,21529.84,0.16,短
安防与信号设备,sinalizacao_e_seguranca,138,21315.05,0.16,长
卧室家具,moveis_quarto,90,19051.8,0.15,长
技术书籍,livros_tecnicos,256,18702.23,0.14,中
手工工具,construcao_ferramentas_ferramentas,97,15903.95,0.12,长
食品饮料,alimentos_bebidas,221,14942.88,0.11,短
男装,fashion_roupa_masculina,106,10452.33,0.08,中
内衣泳装,fashion_underwear_e_moda_praia,117,9305.95,0.07,中
圣诞用品,artigos_de_natal,125,8737.84,0.07,中
平板及打印设备,tablets_impressao_imagem,79,7528.41,0.06,长
影音摄影,cine_foto,63,6674.47,0.05,长
音乐制品,musica,38,6034.35,0.05,中
蓝光DVD,dvds_blu_ray,56,4542.59,0.03,中
派对用品,artigos_de_festas,38,4465.19,0.03,中
进口书籍,livros_importados,50,4418.86,0.03,中
床垫与软装家具,moveis_colchao_e_estofado,37,4323.38,0.03,长
便携式厨房和食品加工设备,portateis_cozinha_e_preparadores_de_alimentos,13,3933.63,0.03,长
女装,fashion_roupa_feminina,36,2634.94,0.02,中
运动服饰,fashion_esporte,26,2094.52,0.02,中
厨房用具,la_cuisine,13,2054.99,0.02,长
手工艺品,artes_e_artesanato,23,1814.01,0.01,中
纸尿裤及卫生用品,fraldas_higiene,25,1500.79,0.01,短
电竞设备,pc_gamer,7,1306.95,0.01,长
鲜花,flores,29,1110.04,0.01,短
家居舒适用品_2,casa_conforto_2,24,760.27,0.01,长
音乐CD/DVD,cds_dvds_musicais,12,730,0.01,中
童装,fashion_roupa_infanto_juvenil,7,519.95,0,中
安全与服务,seguros_e_servicos,2,283.29,0,中
