评论分数,评论内容（原文）,评论内容,问题类型
1,Cancelei o pedido ! Pesso que me envie outro boleto.,我取消了订单！请给我发一张新的付款单。,客服失联
1,nao deram nenhuma.posição.. minha chapinha nao chegou e estou precisando muito da mercadoria,没有任何回复……我的直发夹还没到，我非常需要这个商品。,物流延误+客服失联
1,"O produto não foi entregue ainda,e nem uma comunicação pela empresa sobre a entrega..",商品尚未送达，公司也没有任何关于送货的沟通。,物流延误+客服失联
1,"Mais respeito ao consumidor, era para presente!!",请尊重消费者，这本来是准备送人的礼物！！,物流延误
2,veio a cor errada,颜色发错了,发错货
1,"Não tenho como recomendar a loja, pois ainda não recebi o produto.",我没法推荐这家店，因为我还没收到货。,物流延误
1,"Muito chateada, não recebi o produto e a loja confirmou no site que eu recebi, não sei baseada em que. Estou tentando entrar em contato com a loja e está difícil. ",非常生气，我没收到货，店铺却在网站上确认说我已收货，不知道他们凭什么这样写。我一直在尝试联系店铺，非常困难。,物流延误+客服失联
2,Só não gostei da nota colado com fita sem colocar no saquinho rasgou a nota só que não tenho impressora pra imprimir o que venho pelo mail,唯一不满意的是发票直接粘着胶带，没有装袋，撕坏了。但我没有打印机，没法打印邮件版本。,其他（发票问题）
2,Fui aos correios e fui informado que o produto estava ainda em outra cidade estou esperando pela entrega que já passou do prazo e estou precisando com urgência da ecomenda compras a e paga,我去邮局问，被告知包裹还在另一个城市。我在等送达，已经超出期限了，急需这个包裹。,物流延误
1,Paguei um frete caríssimo para receber o produto na minha casa e não aconteceu isso foi preciso retirar o produto na agência dos correios detestei,我付了极其昂贵的运费让东西送到家里，结果根本没有，还得自己去邮局拿，非常讨厌。,物流延误
1,"A falta de responsabilidade e compromisso com o consumidor, deixa a desejar, eu já não confio muito fazer compras online agora depois desse ocorrido fortalece mais ainda minha insegurança.",对消费者缺乏责任感和承诺，让人失望。这次经历之后，我对网购更加不信任了，这次事件进一步加深了我的不安全感。,综合体验差
2,O produto anunciado é visto na foto do Site não corresponde ao que foi enviado pela Empresa Markplase e recebir o mesmo aborrecido.,网站照片上展示的产品与实际收到的Markplase公司发货的不一致，收到的时候非常沮丧。,发错货
2,O produto não foi entrgue anda e não recebíamos nenhum contato da Empresa justificando o motivo da não entrega do produto,商品还没有送达，公司也没有联系我说明未送达的原因。,物流延误+客服失联
1,"Gostaria de saber o que houve com meu produto, já que no status de entrega aparece a mensagem: ocorrência na entrega. O que houve??? Gostaria de uma posição das Lojas lannister!",我想知道我的包裹到底怎么了，物流状态写着：配送异常。到底发生了什么？希望Lannister商店能给我一个回复！,物流延误+客服失联
1,"Preciso da cadeira com urgência, pessoa com deficiência .",急需这把椅子，这是给残障人士用的。,物流延误
1,"O produto veio com defeito na lâmina dourada e o mesmo não corta nada. 
Esperando a troca do produto para uma nova avaliação.",金色刀片有缺陷，根本切不动东西。正在等待换货后再做新的评价。,质量缺陷
2,BOM,好。,（非差评，疑似误标）
1,Produto entregue não foi o mesmo do anuncio. Embalagem diferente e bebida tambem. O que esta no anuncio tinha a garrafa de green label. E o que foi enviado tem a garrafa johnny walker platinum.,送到的产品不是我下单的那款。瓶子不一样，饮料也不一样。我下单的应该是绿标的瓶子，送来的是尊尼获加铂金。,发错货
1,"Um dos três produtos faturados ( etapa 2) foi enviada errada ( outra composição) do que foi pedido e faturado na nota fiscal. Já solicitei o cancelamento do pedido, só me causou transtorno a compra.",发票上列了三个产品，其中一个发错了（成分不一样），不是我下单并在发票上列明的那个。已经申请退款了，这次购物只给我带来了麻烦。,发错货
2,"Quanto ao comedouro a empresa está de parabéns; muito bom e satisfatório. Quanto ao Benedouro; em poucas palavras, para mim nao delongar muito: UM LIXO"" de equipamento. """,关于喂食器，这家公司值得表扬，非常好非常满意。但关于饮水机，一句话概括：就是个废物。,质量缺陷
1,"estou insatisfeita em relação a entrega que não foi entregue ainda,já paguei a parcela do produto e não o recebi ainda. ",很不满意，因为商品至今未送达。我已经支付了分期款，但还没收到货。,物流延误
2,"Recebi o produto com defeito, nunca ligou o aparelho e olhe que a nossa voltagem é de 220v",收到的是有缺陷的产品，根本不通电。我们这里电压明明是220V的。,质量缺陷
1,Recebi um outro produto no lugar do que eu comprei. A nota fiscal em nome de outra pessoa. Agora tenho que verificar como farei a troca.,我收到了一个不是我买的东西。发票上写的是别人的名字。现在我得想办法退换。,发错货
1,O produto não funciona e veio errado. ,产品是坏的，而且发错了。,发错货+质量缺陷
1,Estou tentando trocar meu produto. Pedi um waterpik 220 volts e me entregaram na voltagem 110.Para vender é fácil mas para trocar vc não consegue falar com ninguém.,我正在尝试换货。我订了一个220V的冲牙器，结果给我发了110V的。卖东西容易，换货就联系不上人了。,发错货+客服失联
1,Eu pedi q cancelacem antes da nf ser emitida pq eu havia ganhado de presente um igual... não cancelaram... mandaram assim msm... eu pedi quando a nf ainda não tinha sido emitida,我在发票还没开出来之前就要求取消订单，因为我收到了一模一样的礼物……他们没有取消……还是寄过来了……我是在发票还没开出来的时候就提的。,客服失联
