商品品类周期,R层级,M层级,用户数,M_均值,M_标准差
中,沉默,中消费,3484,144.13,27.01
中,沉默,低消费,3991,61.79,20.25
中,沉默,超高消费,434,805.45,370.95
中,沉默,高消费,1835,279.7,66.26
中,活跃,中消费,2561,141.99,27.68
中,活跃,低消费,2615,63.54,21.84
中,活跃,超高消费,350,803.68,418.3
中,活跃,高消费,1232,281.03,70.18
中,流失,中消费,2373,142.01,27.05
中,流失,低消费,3119,64.52,19.08
中,流失,超高消费,363,857,536.24
中,流失,高消费,1199,292.4,72.6
短,沉默,中消费,886,137.49,24.84
短,沉默,低消费,1281,61.74,21.51
短,沉默,超高消费,91,919.06,467.38
短,沉默,高消费,440,297.67,79.77
短,活跃,中消费,545,139.16,26.7
短,活跃,低消费,822,63.35,22.31
短,活跃,超高消费,126,767.43,331.01
短,活跃,高消费,292,292.34,74.41
短,流失,中消费,2033,136.22,27.49
短,流失,低消费,3118,60.43,21.71
短,流失,超高消费,293,830.6,424.63
短,流失,高消费,980,313.65,76.77
长,沉默,中消费,4863,140.87,28.19
长,沉默,低消费,7783,58.94,21.19
长,沉默,超高消费,666,1014.31,653.48
长,沉默,高消费,2632,288.56,76.33
长,活跃,中消费,13372,143.97,28.46
长,活跃,低消费,20519,59.37,21.65
长,活跃,超高消费,1942,976.55,652.67
长,活跃,高消费,7109,294.28,79.64
